Month,Station,CDMM
Feb-15,Esperance,-58.5
Mar-15,Esperance,-53.3
Apr-15,Esperance,-42.6
May-15,Esperance,-49.9
Jun-15,Esperance,-73.3
Jul-15,Esperance,-109.2
Aug-15,Esperance,-96.5
Sep-15,Esperance,-95.4
Oct-15,Esperance,-121.1
Nov-15,Esperance,-134.9
Dec-15,Esperance,-110.2
Jan-16,Esperance,-86.8
Feb-16,Esperance,-94.6
Mar-16,Esperance,-60.6
Apr-16,Esperance,-65.6
May-16,Esperance,-66.6
Jun-16,Esperance,-60.8
Jul-16,Esperance,-104.1
Aug-16,Esperance,-91
Sep-16,Esperance,-70.1
Oct-16,Esperance,-63.5
Nov-16,Esperance,-80.1
Dec-16,Esperance,-73
Jan-17,Esperance,-71
Feb-17,Esperance,51.8
Mar-17,Esperance,44.6
Apr-17,Esperance,7.1
May-17,Esperance,14.2
Jun-17,Esperance,-18
Jul-17,Esperance,20.7
Aug-17,Esperance,4
Sep-17,Esperance,17.7
Oct-17,Esperance,2.2
Nov-17,Esperance,-10.6
Dec-17,Esperance,-14.7
Jan-18,Esperance,-35.3
Feb-18,Esperance,-0.5
Mar-18,Esperance,-11.3
Apr-18,Esperance,-45.8
May-18,Esperance,-77.3
Jun-18,Esperance,-104.7
Jul-18,Esperance,-125.4
Aug-18,Esperance,-61.5
Sep-18,Esperance,-86.4
Oct-18,Esperance,-59
Nov-18,Esperance,-58.4
Dec-18,Esperance,-43.5
Jan-19,Esperance,-68.9
Feb-19,Esperance,-94.1
Jan-04,Myrup,6.1
Feb-04,Myrup,6
Mar-04,Myrup,14
Apr-04,Myrup,-5.5
May-04,Myrup,-1
Jun-04,Myrup,-20.8
Jul-04,Myrup,-49.4
Aug-04,Myrup,-49.4
Sep-04,Myrup,-75.6
Oct-04,Myrup,-111.9
Nov-04,Myrup,-117.4
Dec-04,Myrup,-133.3
Jan-05,Myrup,-139.4
Feb-05,Myrup,-158.7
Mar-05,Myrup,-176.1
Apr-05,Myrup,-136.9
May-05,Myrup,-138.3
Jun-05,Myrup,-40.7
Jul-05,Myrup,-76.7
Aug-05,Myrup,-67.3
Sep-05,Myrup,-45.4
Oct-05,Myrup,-19.5
Nov-05,Myrup,-31
Dec-05,Myrup,-34.9
Jan-06,Myrup,-1.8
Feb-06,Myrup,0.5
Mar-06,Myrup,3.6
Apr-06,Myrup,62.9
May-06,Myrup,64.4
Jun-06,Myrup,42.4
Jul-06,Myrup,12
Aug-06,Myrup,-27.8
Sep-06,Myrup,-43.6
Oct-06,Myrup,-89.9
Nov-06,Myrup,-99.8
Dec-06,Myrup,-108.6
Jan-07,Myrup,102.6
Feb-07,Myrup,81.2
Mar-07,Myrup,65.9
Apr-07,Myrup,159.8
May-07,Myrup,134.1
Jun-07,Myrup,99.9
Jul-07,Myrup,79.6
Aug-07,Myrup,82.4
Sep-07,Myrup,74.7
Oct-07,Myrup,119.7
Nov-07,Myrup,92.9
Dec-07,Myrup,123
Jan-08,Myrup,113.4
Feb-08,Myrup,95.4
Mar-08,Myrup,69.1
Apr-08,Myrup,98.4
May-08,Myrup,78.2
Jun-08,Myrup,32.2
Jul-08,Myrup,66.2
Aug-08,Myrup,46.2
Sep-08,Myrup,94.5
Oct-08,Myrup,129.4
Nov-08,Myrup,175
Dec-08,Myrup,177.9
Jan-09,Myrup,327.5
Feb-09,Myrup,318
Mar-09,Myrup,307.8
Apr-09,Myrup,296.4
May-09,Myrup,257.3
Jun-09,Myrup,270.1
Jul-09,Myrup,263.5
